fac_item_number,item_ssic,facility_code,creation_date,process_status,error_message,request_id
305105545,0000105545,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30512860,0000012860,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305472407,0000472407,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305472532,0000472532,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305473288,0000473288,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305439548,0000439548,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305593800,0000593800,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90439525,0000039525,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904737975,0000737975,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904739248,0000739248,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904150440,0000150440,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90437969,0000037969,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90437976,0000037976,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90437998,0000037998,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904262534,0000262534,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904574987,0000574987,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904167331,0000167331,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905687984,0000687984,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905689254,0000689254,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905319070,0000319070,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905418891,0000418891,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905617807,0000617807,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905524637,0000524637,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905783410,0000783410,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
250302313,0000302313,250,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252604013,0000604013,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
